org,model,pair,language,direction_label,cosine_similarity,path_correct,path_incorrect
bigscience,bloom-1b1,1sg-2sg,french,1sgto2sg,0.6981008528408426,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_1sgto2sg_french.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_1sgto2sg_french.pt
bigscience,bloom-1b1,1sg-2sg,french,2sgto1sg,0.8117746166308887,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_2sgto1sg_french.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/french/attn_head_out_all_pos_patch_results_2sgto1sg_french.pt
bigscience,bloom-1b1,1sg-2sg,italian,1sgto2sg,0.595997635038397,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_1sgto2sg_italian.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_1sgto2sg_italian.pt
bigscience,bloom-1b1,1sg-2sg,italian,2sgto1sg,0.4813954377339264,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_2sgto1sg_italian.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/italian/attn_head_out_all_pos_patch_results_2sgto1sg_italian.pt
bigscience,bloom-1b1,1sg-2sg,portuguese,1sgto2sg,0.6881646695581202,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_1sgto2sg_portuguese.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_1sgto2sg_portuguese.pt
bigscience,bloom-1b1,1sg-2sg,portuguese,2sgto1sg,0.7512113421910341,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_2sgto1sg_portuguese.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/portuguese/attn_head_out_all_pos_patch_results_2sgto1sg_portuguese.pt
bigscience,bloom-1b1,1sg-2sg,spanish,1sgto2sg,0.659722765741715,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_1sgto2sg_spanish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_1sgto2sg_spanish.pt
bigscience,bloom-1b1,1sg-2sg,spanish,2sgto1sg,0.8564880875515968,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_2sgto1sg_spanish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/spanish/attn_head_out_all_pos_patch_results_2sgto1sg_spanish.pt
bigscience,bloom-1b1,1sg-2sg,swedish,1sgto2sg,-0.41633551494992915,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_1sgto2sg_swedish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_1sgto2sg_swedish.pt
bigscience,bloom-1b1,1sg-2sg,swedish,2sgto1sg,0.5559885448055566,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_2sgto1sg_swedish.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-2sg/swedish/attn_head_out_all_pos_patch_results_2sgto1sg_swedish.pt
bigscience,bloom-1b1,1sg-3sg,catalan,1sgto3sg,0.7841308956860992,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_1sgto3sg_catalan.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_1sgto3sg_catalan.pt
bigscience,bloom-1b1,1sg-3sg,catalan,3sgto1sg,0.7398927861783252,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_3sgto1sg_catalan.pt,/home/lis.isabella.gidi/jsalt2025/src/experiments/mega_automation_edited/incorrect/results/bigscience/bloom-1b1/1sg-3sg/catalan/attn_head_out_all_pos_patch_results_3sgto1sg_catalan.pt
